整理番号,集計F,出馬,当選,候補者ID,イメージID,ブロックCD,都道府県CD,統合CD,選挙区CD,ブロック名,都道府県名,選挙区名,選挙区登録番号,比例登録番号,選挙区届出番号,名簿掲載順,候補者名,新旧,党派CD,集計党派CD,集計党派,党派名,,確認F,,,,,,,,,,,,,,,,,Q01-1,Q01-2,Q01-3,"Q02
","Q03
","Q04
","Q05
-01","Q05
-02","Q05
-03","Q05
-04","Q05
-05","Q05
-06","Q05
-07","Q05
-08","Q05
-09","Q06
","Q07
",Q08-01,Q08-02,Q08-03,Q08-04,Q08-05,Q08-06,Q09,Q10,"Q11
","Q12
","Q13
","Q14
","Q15
","Q16
","Q17
","Q18
","SQ　【Q18で01か02を選んだ人だけ】 
-01","SQ　【Q18で01か02を選んだ人だけ】 
-02","SQ　【Q18で01か02を選んだ人だけ】 
-03","SQ　【Q18で01か02を選んだ人だけ】 
-04","SQ　【Q18で01か02を選んだ人だけ】 
-05","SQ　【Q18で01か02を選んだ人だけ】 
-06","SQ　【Q18で01か02を選んだ人だけ】 
-07","SQ　【Q18で01か02を選んだ人だけ】 
-08","SQ　【Q18で01か02を選んだ人だけ】 
-09","SQ　【Q18で01か02を選んだ人だけ】 
-10","SQ　【Q18で01か02を選んだ人だけ】 
-11","SQ　【Q18で01か02を選んだ人だけ】 
-12","SQ　【Q18で01か02を選んだ人だけ】 
-13","SQ　【Q18で01か02を選んだ人だけ】 
-14","SQ　【Q18で01か02を選んだ人だけ】 
-15","SQ　【Q18で01か02を選んだ人だけ】 
-16","SQ　【Q18で01か02を選んだ人だけ】 
-17","SQ　【Q18で01か02を選んだ人だけ】 
-18","SQ　【Q18で01か02を選んだ人だけ】 
-19","SQ　【Q18で01か02を選んだ人だけ】 
-20","Q19
","Q20
",Q21,Q22,Q23,"Q24 
","Q25
","Q26
","Q27
-01","Q27
-02","Q27
-03","Q27
-04","Q27
-05","Q27
-06","Q27
-07","Q27
-08","Q27
-09","Q27
-10","Q28-01
",Q28-02,Q28-03,Q28-04,Q28-05,Q28-06,Q28-07,Q28-08,Q28-9
406,1,1,0,135896,YRYA13015XXX003K,84,13,13,15,東京ブ,東京都,東京１５区,3,0,1,0,小堤東,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,06,04,14,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,03,,,,07,08,,,0,0,30,0,100,0,50,70,0
407,1,1,0,136876,YRYA13015XXX004K,84,13,13,15,東京ブ,東京都,東京１５区,4,28,3,10,酒井菜摘,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,09,07,03,02,01,,,,,,,,,09,02,04,04,01,02,02,03,01,02,03,05,03,03,03,02,02,02,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,04,02,03,01,,,,,,,,,,,10,10,80,25,60,50,55,60,25
408,1,1,0,137346,YRYA13015XXX005K,84,13,13,15,東京ブ,東京都,東京１５区,5,46,4,11,大空幸星,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,07,11,01,03,02,02,,,,,,,,,,02,02,02,,02,02,02,02,02,02,01,01,02,01,01,02,01,01,,,03,,,,,08,,,,,,,,,,18,,,01,,02,02,01,03,,,,02,,,,,,,,,,,,,,,,,
409,1,1,0,137372,YRYA13015XXX006K,84,13,13,15,東京ブ,東京都,東京１５区,6,0,2,0,須藤元気,3,924,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,03,02,01,03,02,01,,,,,,,,,09,01,04,02,02,02,03,04,02,02,02,03,02,04,03,04,03,03,04,,,,,,,,,,,,,,,,,,,,,03,02,04,04,03,05,02,04,,,,,,,,,,,50,50,50,50,50,50,50,50,50
412,1,1,0,135621,YRYA13016XXX002K,84,13,13,16,東京ブ,東京都,東京１６区,2,18,5,11,柴田勝之,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,07,05,03,03,02,,,,,,,,,09,02,03,02,01,02,02,01,01,03,03,04,04,03,02,02,02,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,03,03,02,03,01,,,,,,06,,08,,,50,50,80,50,60,70,60,70,50
413,1,1,0,135622,YRYA13016XXX003K,84,13,13,16,東京ブ,東京都,東京１６区,3,9,1,15,中津川博郷,2,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,01,03,07,03,02,01,,,,,,,,,09,01,01,01,03,02,05,05,03,02,01,01,01,03,03,02,05,05,01,01,,03,,05,06,,08,,10,,,13,14,15,16,17,18,,,01,01,02,05,03,03,01,05,,,,,,,,,,,50,50,50,100,50,50,50,50,50
414,1,1,0,136454,YRYA13016XXX004K,84,13,13,16,東京ブ,東京都,東京１６区,4,0,4,0,有田正寿,3,858,09,参政党,参政,,○,,,,,,,,,,,,,,,,,02,04,14,04,03,04,,,,,,,,,09,01,02,02,03,02,02,04,03,03,03,02,02,04,02,03,03,03,04,,,,,,,,,,,,,,,,,,,,,02,02,02,01,02,05,01,04,,,,,,,,,,,10,10,10,10,10,10,10,10,90
415,1,1,0,137303,YRYA13016XXX005K,84,13,13,16,東京ブ,東京都,東京１６区,5,45,3,12,大西洋平,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,05,12,03,02,04,,02,,,,,,,,02,02,02,02,02,03,03,01,03,02,01,01,02,01,01,03,03,01,,,03,,05,06,,08,,,,,,,,,,18,,,01,02,01,01,02,02,02,04,,02,,,,,,,,,90,80,10,50,10,30,0,10,20
416,1,1,0,137489,YRYA13016XXX006K,84,13,13,16,東京ブ,東京都,東京１６区,6,0,2,0,宮本栄,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,01,11,14,03,02,01,,,,04,,,,,,03,03,05,01,02,02,01,01,03,04,05,05,03,04,03,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,04,01,03,01,,,03,,,,07,08,,,0,0,20,0,100,0,10,50,0
417,1,1,0,135618,YRYA13017XXX001K,84,13,13,17,東京ブ,東京都,東京１７区,1,0,4,0,平沢勝栄,1,901,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,11,01,05,02,05,04,01,,03,,,,,,,04,04,02,03,02,03,03,03,04,02,04,02,02,03,01,03,01,01,01,,03,,,,,,,,11,,,,,,,18,19,,01,01,02,02,03,03,02,04,,,,,,,,,,,90,60,30,40,20,40,10,10,0
418,1,1,0,135620,YRYA13017XXX002K,84,13,13,17,東京ブ,東京都,東京１７区,2,5,3,11,円より子,3,13,06,国民民主党,国民,,○,,,,,,,,,,,,,,,,,05,01,04,03,03,02,01,,,,,,,,,03,04,04,03,02,02,03,01,03,03,04,03,03,03,01,01,01,,,,,,,,,,,,,,,,,,,,,,,,03,05,04,03,03,02,,02,03,,,,,,,,50,80,80,50,50,100,50,50,
419,1,1,0,136166,YRYA13017XXX003K,84,13,13,17,東京ブ,東京都,東京１７区,3,15,1,16,猪口幸子,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,05,04,07,03,03,02,,,,,,,,,09,03,03,03,03,01,03,03,02,02,02,03,01,02,02,02,05,01,01,,,03,,,,,08,,,,,,14,,16,,,,,01,03,04,04,03,03,03,02,,,,,,,,,,,30,30,30,80,5,10,10,10,0
421,1,1,0,135663,YRYA13018XXX001K,84,13,13,18,東京ブ,東京都,東京１８区,1,8,4,13,福田かおる,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,04,11,04,04,04,01,,,,,,,,,02,04,02,02,02,03,03,02,02,02,02,02,02,02,02,03,02,01,,,03,,,,,08,,,,,,,,,,18,,,01,01,02,02,03,04,02,02,,02,,,,06,,,,,60,55,50,30,10,55,10,10,10
423,1,1,0,135882,YRYA13018XXX003K,84,13,13,18,東京ブ,東京都,東京１８区,3,0,2,0,樋口亮,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,06,03,04,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,,,,,,08,,,0,0,5,0,100,0,10,85,0
424,1,1,0,136502,YRYA13018XXX004K,84,13,13,18,東京ブ,東京都,東京１８区,4,25,3,12,松下玲子,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,08,07,03,02,02,,,,,,,,,09,03,03,04,02,02,02,02,01,02,03,05,05,03,04,03,03,03,05,,,,,,,,,,,,,,,,,,,,,05,03,04,02,04,02,03,01,,,,,05,06,,08,,,0,0,90,0,50,50,70,70,0
425,1,1,0,136511,YRYA13018XXX005K,84,13,13,18,東京ブ,東京都,東京１８区,5,0,1,0,徳永由紀子,3,858,09,参政党,参政,,○,,,,,,,,,,,,,,,,,02,21,21,03,04,04,,,,,,,,,09,01,02,02,04,02,03,03,02,02,02,02,01,03,02,03,04,04,01,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,01,01,03,01,03,04,01,04,,,,,,06,,,,,20,0,5,10,0,50,0,0,
426,1,1,0,135594,YRYA13019XXX001K,84,13,13,19,東京ブ,東京都,東京１９区,1,15,3,14,松本洋平,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,07,03,03,03,02,,,,,,,,,09,02,03,02,02,01,02,03,02,02,02,02,01,02,02,02,03,02,01,,,03,,,,,,,10,,,,14,,,,18,,,01,01,02,03,02,04,02,03,,02,,,,,,,,,100,100,50,50,50,50,50,50,50
427,1,1,0,135595,YRYA13019XXX002K,84,13,13,19,東京ブ,東京都,東京１９区,2,10,2,13,末松義規,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,06,05,03,04,04,,,,,,,,,09,01,03,03,02,02,02,03,02,03,03,05,03,02,01,03,03,01,03,,,,,,,,,,,,,,,,,,,,,05,03,05,05,01,02,03,03,,,,,,,,,,,,,,,,,,,
428,1,1,0,136484,YRYA13019XXX003K,84,13,13,19,東京ブ,東京都,東京１９区,3,0,1,0,井手重美津子,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,01,04,05,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,,,,,,08,,10,0,0,50,0,90,5,30,80,0
429,1,1,0,136494,YRYA13019XXX004K,84,13,13,19,東京ブ,東京都,東京１９区,4,20,4,17,吉田圭一郎,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,11,03,05,03,01,01,,,,,,,,,09,01,02,01,01,01,02,03,01,02,02,02,02,03,02,02,02,03,01,,,03,,,,,,,,,,,,,,,,,,01,,03,05,03,05,,,,,,,,,,,,,,,,,,,,,
430,1,1,0,135565,YRYA13020XXX001K,84,13,13,20,東京ブ,東京都,東京２０区,1,4,3,15,木原誠二,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,07,11,03,04,02,,,,,,,,,09,01,01,03,02,01,02,04,01,02,02,01,01,03,02,01,03,01,01,,,03,,,06,,08,,,,12,,,,,,18,,,01,02,01,02,02,05,03,04,,02,,,,,,,,,100,100,50,70,50,70,50,50,50
431,1,1,0,135567,YRYA13020XXX002K,84,13,13,20,東京ブ,東京都,東京２０区,2,1,2,2,宮本徹,1,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,06,07,14,03,02,01,,,,04,,,,,,02,04,04,01,01,02,01,01,03,04,05,05,03,05,05,01,02,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,04,02,03,01,,,,,,,,08,,,10,20,65,10,100,35,65,95,
433,1,1,0,137175,YRYA13020XXX005K,84,13,13,20,東京ブ,東京都,東京２０区,5,15,1,5,大西健太郎,3,13,06,国民民主党,国民,,○,,,,,,,,,,,,,,,,,04,14,01,04,02,01,,,,,,,,,09,02,04,03,04,01,02,03,01,03,03,02,03,03,03,03,04,03,02,,,03,,,,,,,,,,,,,,,,,,02,02,02,02,04,03,03,02,,,03,,,,,,,,40,40,60,40,30,100,30,30,30
434,1,1,0,135668,YRYA13021XXX001K,84,13,13,21,東京ブ,東京都,東京２１区,1,0,3,0,小田原潔,1,901,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,12,01,14,03,03,01,,02,,,,,,,,02,02,01,03,02,02,03,02,02,02,02,02,02,02,02,03,02,01,01,,03,,,,,,,,,,,,,,17,,,,02,02,03,02,02,02,02,04,,02,,,,06,,,09,10,90,100,50,50,0,60,0,0,10
435,1,1,0,135670,YRYA13021XXX002K,84,13,13,21,東京ブ,東京都,東京２１区,2,26,4,14,大河原雅子,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,14,07,02,01,01,01,,03,04,,,,,,04,05,05,01,03,01,02,01,02,03,05,05,03,04,03,03,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,05,02,03,01,,,,,,06,,08,,,30,30,95,15,65,65,50,80,0
436,1,1,0,136204,YRYA13021XXX003K,84,13,13,21,東京ブ,東京都,東京２１区,3,23,1,18,山下容子,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,12,14,08,03,04,01,,02,,04,,,,,,04,03,03,02,01,04,03,01,03,02,04,03,02,02,02,02,02,02,,,03,,05,,,08,,10,,,,14,,,,18,,,01,03,05,03,02,04,03,02,,,,,,,,,,,50,50,50,100,45,50,50,50,50
438,1,1,0,135665,YRYA13022XXX001K,84,13,13,22,東京ブ,東京都,東京２２区,1,9,4,16,伊藤達也,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,04,07,03,03,02,,,,,,,,,09,01,02,03,03,02,03,03,01,02,02,02,01,02,02,01,03,02,01,,,03,,05,06,,,,10,,,,,,,,18,,,01,01,02,02,01,02,03,03,,02,,,,,,,,,90,80,50,60,0,50,0,0,20
439,1,1,0,135666,YRYA13022XXX002K,84,13,13,22,東京ブ,東京都,東京２２区,2,5,2,15,山花郁夫,2,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,18,20,02,01,01,01,,,,,,,,,03,05,04,02,02,02,02,02,03,03,05,04,02,04,02,02,02,02,,,,,,,,,,,,,13,,,,,,19,,05,03,04,02,04,02,03,01,,,,,,06,,,,,0,25,100,0,50,50,0,50,0
440,1,1,0,135667,YRYA13022XXX003K,84,13,13,14,東京ブ,東京都,東京１４区,4,1,5,1,櫛渕万里,1,41,07,れいわ新選組,れいわ,,○,,,,,,,,,,,,,,,,,03,01,07,03,01,01,,,,,,,,,09,01,03,01,01,01,01,01,01,01,03,05,05,03,05,05,03,03,05,,,,,,,,,,,,,,,,,,,,,05,,05,05,04,05,03,01,,,,,,,,,,,,,,,,,,,
441,1,1,0,135929,YRYA13022XXX004K,84,13,13,22,東京ブ,東京都,東京２２区,4,0,3,0,鈴木美香,3,858,09,参政党,参政,,○,,,,,,,,,,,,,,,,,02,11,04,03,04,03,,,,,,,,,09,01,02,02,05,03,03,03,01,02,02,03,03,03,02,04,04,04,03,,,,,,,,,,,,,,,,,,,,,01,02,02,01,02,05,02,05,,,,,,,,,,,,,,,,,,,
442,1,1,0,136503,YRYA13022XXX005K,84,13,13,22,東京ブ,東京都,東京２２区,5,0,1,0,平野義尚,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,08,06,03,03,01,,,,04,,,,,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,03,,,,,08,,,0,0,50,0,100,0,25,50,0
444,1,1,0,135544,YRYA13023XXX002K,84,13,13,23,東京ブ,東京都,東京２３区,2,27,3,16,伊藤俊輔,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,03,05,02,03,01,,,,,,,,,,02,03,02,01,01,02,02,01,02,03,04,02,02,03,01,01,01,04,,,,,,,,,,,,,,,,,,,,,05,03,05,04,04,02,03,01,,,,,,,,,,,,,,,,,,,
446,1,1,0,137617,YRYA13023XXX004K,84,13,13,23,東京ブ,東京都,東京２３区,4,47,2,17,吉原修,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,02,07,05,03,02,01,,,,,,,,08,,01,01,03,02,02,02,03,02,02,02,01,01,02,01,01,02,01,01,,,03,,,,,,,,,,,,,16,,18,,,01,01,02,02,02,02,02,05,,02,,,,,,,,,90,90,0,0,0,0,0,0,0
447,1,1,0,137782,YRYA13023XXX005K,84,13,13,23,東京ブ,東京都,東京２３区,5,0,1,0,ＡＩメイヤー,3,861,10,諸派,みんつく,,○,,,,,,,,,,,,,,,,,15,14,,03,05,01,,,,,,,,,09,05,01,05,03,03,05,01,01,01,02,03,01,04,05,04,03,03,03,,,,,,,,,,,,,,,,,,,,,03,03,03,05,03,03,02,02,,,,,,,,,,,50,50,50,50,50,50,50,50,50
448,1,1,0,135546,YRYA13024XXX001K,84,13,13,24,東京ブ,東京都,東京２４区,1,0,6,0,萩生田光一,1,901,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,04,01,11,03,04,04,01,,,,05,,,,,01,02,02,03,01,02,03,02,02,02,01,01,02,01,01,03,02,01,,,03,,,,,08,,,,,,,,,,18,,,01,01,02,01,02,03,02,03,,02,,,,,,,,,100,100,50,50,50,50,50,50,50
449,1,1,0,135548,YRYA13024XXX002K,84,13,13,24,東京ブ,東京都,東京２４区,2,29,5,19,佐藤由美,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,01,07,11,02,01,01,,,,,,,,,09,01,03,04,02,01,03,01,01,02,03,02,02,02,03,02,02,02,03,,,,,,,,,,,,,,,,,,,,,04,03,03,04,02,03,03,01,,,03,,,,,,,,,,,,,,,,
450,1,1,0,137107,YRYA13024XXX003K,84,13,13,24,東京ブ,東京都,東京２４区,3,13,4,3,浦川祐輔,3,13,06,国民民主党,国民,,○,,,,,,,,,,,,,,,,,01,21,04,05,05,05,,,,,,,,,09,01,01,03,05,01,05,04,01,01,03,02,02,02,01,01,03,01,02,01,02,,,05,06,,,09,10,,,13,,,16,,,,,04,03,01,04,01,01,03,01,,02,,,,,,,,,50,100,50,5,80,100,0,0,20
451,1,1,0,137302,YRYA13024XXX004K,84,13,13,24,東京ブ,東京都,東京２４区,4,31,2,17,有田芳生,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,07,09,01,05,01,01,02,03,,,,,,,03,05,04,01,01,01,01,01,04,03,05,05,03,04,03,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,04,01,03,01,,,,,05,,,08,,,50,50,80,20,50,20,20,20,10
454,1,1,0,135700,YRYA13025XXX001K,84,13,13,25,東京ブ,東京都,東京２５区,1,42,3,18,井上信治,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,05,07,03,04,04,,,,04,,,,,,02,02,02,02,02,03,03,02,02,02,01,01,02,02,01,05,01,01,,,03,,05,,,08,,10,,12,,,,,,18,,,01,01,01,02,02,02,02,04,,02,,,,,,,,,100,75,50,50,0,50,0,0,0
455,1,1,0,136364,YRYA13025XXX002K,84,13,13,25,東京ブ,東京都,東京２５区,2,22,4,20,宮﨑太朗,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,14,01,04,03,01,01,,,,,,,,,09,02,02,03,02,01,03,03,01,02,02,01,02,02,01,01,01,01,01,,,,,,,,08,,,,,,,,16,,,,,01,01,02,04,01,03,02,01,,,03,,,06,,,,,50,50,50,100,50,50,50,50,50
456,1,1,0,136824,YRYA13025XXX003K,84,13,13,25,東京ブ,東京都,東京２５区,3,2,1,2,依田花蓮,3,41,07,れいわ新選組,れいわ,,○,,,,,,,,,,,,,,,,,03,13,20,03,01,01,,,,,,,,,09,01,03,01,01,01,01,01,01,01,04,05,05,03,05,05,03,03,05,,,,,,,,,,,,,,,,,,,,,05,,05,05,04,05,03,01,,,,,,,,,,,,,,,,,,,
457,1,1,0,137502,YRYA13025XXX004K,84,13,13,25,東京ブ,東京都,東京２５区,4,0,2,0,池田公三,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,04,11,07,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,03,,,,07,08,,,0,0,50,0,100,0,50,75,0
458,1,1,0,135612,YRYA13026XXX001K,84,13,13,26,東京ブ,東京都,東京２６区,1,34,3,19,今岡植,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,04,01,07,04,02,02,,,,,,,,,09,02,03,03,03,02,02,03,02,03,02,02,02,01,02,01,03,02,01,,,03,,,,,08,,10,,,,,,,,18,,,01,01,02,02,03,04,,,,02,,,,,,,,,90,70,5,5,0,5,0,5,0
460,1,1,0,135624,YRYA13026XXX003K,84,13,13,26,東京ブ,東京都,東京２６区,3,0,5,0,松原仁,1,924,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,01,07,09,03,02,02,,,,,,,,,09,02,02,03,03,01,03,03,01,02,02,02,02,02,03,01,04,02,01,01,,,,,06,,,,,,,,,,,,,,20,02,02,03,01,01,04,03,03,,,03,04,,06,,,,10,,,,,,,,,
461,1,1,0,137648,YRYA13026XXX005K,84,13,13,26,東京ブ,東京都,東京２６区,5,0,2,0,和田正子,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,14,06,07,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,03,03,01,,,03,,,,07,08,,,0,0,50,0,100,10,70,80,0
463,1,1,0,135684,YRYA13027XXX001K,84,13,13,27,東京ブ,東京都,東京２７区,1,9,2,18,長妻昭,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,01,07,03,04,02,,,,,,,,,09,05,04,04,02,02,03,03,02,02,,04,03,02,02,02,02,02,05,,,,,,,,,,,,,,,,,,,,,05,,05,05,05,02,03,01,,,,,,,,,,,,,100,,,,,,
464,1,1,0,135689,YRYA13027XXX002K,84,13,13,27,東京ブ,東京都,東京２７区,2,13,4,20,黒崎祐一,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,05,11,04,02,03,,,,,,,,,09,02,02,03,03,02,03,04,02,02,02,01,01,02,01,01,03,02,01,,,03,,,,,08,,,,,,,,16,,,,,01,01,01,01,01,03,03,03,,02,,,,,,,,,70,70,50,50,30,50,30,30,30
465,1,1,0,135692,YRYA13027XXX003K,91,46,46,2,九州ブ,鹿児島県,鹿児２区,4,13,4,14,辻健太郎,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,07,11,14,03,02,01,,,,,,,,,09,02,03,04,05,02,05,04,01,02,02,01,01,02,01,01,01,01,01,,,03,,,,,08,,,,,,,,,,,,,01,01,02,04,01,03,02,01,,,,,,,,,,,50,50,50,100,50,50,50,50,50
466,1,1,0,137615,YRYA13027XXX005K,84,13,13,27,東京ブ,東京都,東京２７区,5,0,1,0,石倉弘次郎,3,932,11,無所属,無所属,,○,,,,,,,,,,,,,,,,,11,21,15,03,01,01,,02,,,,,,08,,02,01,01,02,02,03,04,01,03,03,05,03,02,02,03,03,03,03,,,,,,,,,,,,,,,,,,,,,03,02,03,05,04,04,02,02,01,02,03,04,05,06,07,08,09,10,50,50,50,50,50,50,50,50,50
467,1,1,0,135852,YRYA13028XXX001K,84,13,13,28,東京ブ,東京都,東京２８区,1,13,5,19,高松智之,3,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,14,09,01,03,02,02,,,,,,,,,09,02,04,04,03,02,02,03,02,03,03,03,03,03,03,03,03,02,03,,,,,,,,,,,,,,,,,,,,,04,01,05,05,04,04,03,01,,,,,,,,,,,30,50,100,40,50,45,60,70,55
468,1,1,0,135853,YRYA13028XXX002K,84,13,13,28,東京ブ,東京都,東京２８区,2,4,6,21,藤川隆史,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,07,04,01,03,02,01,,,,,,,,,09,02,01,02,04,01,02,04,01,02,02,01,01,02,01,01,01,01,01,,,03,,,,,08,,,,,,14,,16,,18,,,01,01,02,04,04,03,02,01,,,,,,,,,,,45,50,35,100,10,60,20,15,5
469,1,1,0,135854,YRYA13028XXX003K,84,13,13,28,東京ブ,東京都,東京２８区,3,0,1,0,高野直美,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,01,04,07,03,03,01,,,,04,,,,08,,03,05,04,01,01,01,01,01,03,04,05,05,03,05,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,03,01,,,03,,,,07,08,,10,10,10,65,0,100,30,75,80,50
470,1,1,0,136068,YRYA13028XXX004K,84,13,13,28,東京ブ,東京都,東京２８区,4,37,3,21,安藤高夫,2,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,07,12,01,02,03,04,01,02,,04,,,,,,02,03,03,03,03,03,03,02,02,02,03,02,02,02,02,02,02,03,,,,,,,,,,,,,,,,,,,,,03,02,03,02,02,02,03,02,,02,,,,,,,,,100,100,,,,,,,
471,1,1,0,136492,YRYA13028XXX005K,84,13,13,28,東京ブ,東京都,東京２８区,5,9,2,6,奥村祥大,3,13,06,国民民主党,国民,,○,,,,,,,,,,,,,,,,,01,04,08,05,01,02,,,,,,,,,09,02,02,03,04,01,02,03,01,02,02,02,02,02,01,01,03,03,01,,,03,,,,,,,,,,,14,,,,18,,,01,01,01,02,02,02,03,02,,,,,,,,,,,20,50,50,60,0,100,0,50,30
472,1,1,0,136493,YRYA13028XXX006K,84,13,13,28,東京ブ,東京都,東京２８区,6,21,4,3,江崎早苗,3,858,09,参政党,参政,,○,,,,,,,,,,,,,,,,,03,02,11,03,01,02,,,,,,,,,09,01,03,01,04,01,01,04,01,,,03,01,04,02,02,04,04,03,,,,,,,,,,,,,,,,,,,,,01,02,02,01,02,05,01,05,,,,,,,,,,,,,,,,,,,100
473,1,1,0,135615,YRYA13029XXX001K,84,13,13,29,東京ブ,東京都,東京２９区,1,0,1,0,岡本三成,1,3,02,公明党,公明,,○,,,,,,,,,,,,,,,,,01,14,12,03,04,02,01,02,03,,,,,,,02,03,03,03,03,03,03,03,02,02,02,02,02,02,01,02,01,03,,,,,,,,,,,,,,,,,,,,,03,01,03,03,03,02,03,01,01,,,,,,,,,,70,100,,,,,,,
474,1,1,0,135616,YRYA13029XXX002K,84,13,13,29,東京ブ,東京都,東京２９区,2,20,4,20,木村剛司,2,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,01,07,04,03,01,01,,,,,,,,,09,03,05,02,02,03,02,03,01,02,04,05,03,03,04,01,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,03,02,02,01,01,02,,04,05,06,07,08,09,10,50,50,100,50,50,50,50,50,50
475,1,1,0,135617,YRYA13029XXX003K,84,13,13,29,東京ブ,東京都,東京２９区,3,7,2,8,樽井良和,2,13,06,国民民主党,国民,,○,,,,,,,,,,,,,,,,,01,03,11,03,02,01,,,,,,,,,09,01,01,01,02,01,01,03,01,02,02,01,01,03,01,02,03,02,01,,,03,,,,,,,,,,,,,,,,,,01,01,01,01,01,05,02,03,,,03,,,,07,,09,10,20,20,70,30,0,100,60,30,50
476,1,1,0,136041,YRYA13029XXX004K,84,13,13,29,東京ブ,東京都,東京２９区,4,12,3,22,海老沢由紀,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,07,11,05,04,01,01,01,,03,,05,,,,,04,02,05,02,01,05,05,01,03,02,01,01,03,01,01,03,01,01,,,03,,,,,08,,,11,12,,,,,17,18,,,01,01,01,05,04,02,03,05,01,,03,,,06,,,,,50,10,70,100,0,70,0,0,0
